num_elements,num_buckets,approx_ops_base_2,approx_ops_base_e
50000,410000,413134.92360569123,411310.1422054785
50000,420000,423058.4395355042,421276.05544040067
50000,430000,432985.5896882737,431243.67754953925
50000,440000,442916.1216683436,441212.8843730916
50000,450000,452849.8057238401,451183.5632558383
50000,460000,462786.43260384456,461155.6120853031
50000,470000,472725.8110069291,471128.93777890963
50000,480000,482667.76571742183,481103.4553302582
50000,490000,492612.1363198677,491079.0873204202
50000,500000,502558.7752971692,501055.7627259938
50000,510000,512507.5470291737,511033.41654109
50000,520000,522458.32606058725,521011.9885998378
50000,530000,532410.9972083683,530991.4241751104
50000,540000,542365.4533031416,540971.6721616403
50000,550000,552321.5956161594,550952.6858915063
50000,560000,562279.3321703502,560934.421798886
50000,570000,572238.5776255943,570916.8396188552
50000,580000,582199.2529597809,580899.9023496461
50000,590000,592161.2841549725,590883.5751949933
50000,600000,602124.6024229766,600867.8260181304
50000,610000,612089.1434018669,610852.6247453011
50000,620000,622054.8471087618,620837.9435067966
50000,630000,632021.6572946798,630823.7561604565
50000,640000,641989.521377838,640810.0383799471
50000,650000,651958.3898735212,650796.7672248805
50000,660000,661928.2166127013,660783.9214861721
50000,670000,671898.9580664755,670771.4811281807
50000,680000,681870.5731901564,680759.4272381532
50000,690000,691843.0235478107,690747.7422479579
50000,700000,701816.2727770357,700736.4094883151
50000,710000,711790.2867657037,710725.4134467382
50000,720000,721765.0330814942,720714.739271895
50000,730000,731740.4812621564,730704.3731326481
50000,740000,741716.602572218,740694.3020381302
50000,750000,751693.3695294722,750684.5134228013
50000,760000,761670.7565398006,760674.9958340066
50000,770000,771648.7390416685,770665.738128033
50000,780000,781627.2937430313,780656.7297508989
50000,790000,791606.398707824,790647.9608678126
50000,800000,801586.0331600781,800639.4222071067
50000,810000,811566.177032307,810631.1046447527
50000,820000,821546.8116688494,820622.9999414099
50000,830000,831527.9189375077,830615.0998850289
50000,840000,841509.481918924,840607.3970102443
50000,850000,851491.4840916726,850599.8838099544
50000,860000,861473.9100716908,860592.5535005766
50000,870000,871456.7450767175,870585.3995085316
50000,880000,881439.9752720013,880578.4158397872
50000,890000,891423.5867603912,890571.5960897175
50000,900000,901407.5668754989,900564.9347548072
50000,910000,911391.9031795176,910558.4262489356
50000,920000,921376.5843334936,920552.0657902948
50000,930000,931361.5984866876,930545.8478066209
50000,940000,941346.9353569682,940539.7680297457
50000,950000,951332.584631964,950533.8219106193
50000,960000,961318.5361113197,960528.0047752523
50000,970000,971304.7806693643,970522.3127983136
50000,980000,981291.3092050418,980516.7419649819
50000,990000,991278.1127079111,990511.2881483886
50000,1000000,1001265.1830748104,1000505.9479348463
60000,10000,162743.58350606714,112858.48749927657
60000,20000,114871.35122240326,80844.89157831554
60000,30000,96836.51256361254,70859.43532116778
60000,40000,90837.21378665914,69810.34482572717
60000,50000,90698.98996982204,73034.19033081955
60000,60000,93779.6906388257,78549.30940890039
60000,70000,98791.3436043589,85405.54980171412
60000,80000,105041.62676523322,93101.90221706247
60000,90000,112129.09502298589,101353.5071572289
60000,100000,119806.54395868043,109988.29202866538
60000,110000,127914.15562661104,118897.04729542274
60000,120000,136344.37867164775,128007.56066691042
60000,130000,145022.36391784987,137270.40860568642
60000,140000,153894.51583080052,146650.75652521788
60000,150000,162921.50797152473,156123.42376392224
60000,160000,172073.86561660052,165669.80317045475
60000,170000,181329.08456008646,175275.87750773766
60000,180000,190669.69918910693,184930.90553096004
60000,190000,200081.9560094481,194626.5304821931
60000,200000,209554.88312428226,204356.16180171096
60000,210000,219079.62501978592,214114.53797570523
60000,220000,228648.95850970983,223897.4117301047
60000,230000,238256.9349352743,233701.31961970462
60000,240000,247898.61268373652,243523.41167115307
60000,250000,257569.8535214463,253361.32266043292
60000,260000,267267.1664277234,263213.0743894911
60000,270000,276987.58668061235,273077.0008049298
60000,280000,286728.58020614344,282951.68895108625
60000,290000,296487.9688340661,292835.9335582081
60000,300000,306263.870047082,302728.7005038088
